step,t_yr,Mn_ratio_mean,Mn_ratio_min,Mn_ratio_max,E_rel_mean,mass_frac_target,mass_frac_real,porosity_mean,risk_mean,voxels,components
0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,41927,1
1,0.050000,0.996456,0.995951,0.997514,0.992741,1.000000,1.000000,0.000092,0.003564,41927,1
2,0.100000,0.992924,0.991919,0.995034,0.985536,1.000000,1.000000,0.000184,0.007152,41927,1
3,0.150000,0.989405,0.987903,0.992561,0.978385,1.000000,1.000000,0.000275,0.010766,41927,1
4,0.200000,0.985898,0.983903,0.990093,0.971287,1.000000,1.000000,0.000367,0.014405,41927,1
5,0.250000,0.982405,0.979919,0.987632,0.964243,1.000000,1.000000,0.000457,0.018067,41927,1
6,0.300000,0.978924,0.975952,0.985176,0.957250,1.000000,1.000000,0.000548,0.021753,41927,1
7,0.350000,0.975455,0.972000,0.982727,0.950310,1.000000,1.000000,0.000638,0.025463,41927,1
8,0.400000,0.971999,0.968065,0.980284,0.943422,1.000000,1.000000,0.000728,0.029196,41927,1
9,0.450000,0.968556,0.964146,0.977847,0.936585,1.000000,1.000000,0.000817,0.032951,41927,1
10,0.500000,0.965125,0.960242,0.975416,0.929800,1.000000,1.000000,0.000906,0.036729,41927,1
11,0.550000,0.961706,0.956354,0.972991,0.923064,1.000000,1.000000,0.000995,0.040529,41927,1
12,0.600000,0.958299,0.952482,0.970572,0.916379,1.000000,1.000000,0.001083,0.044351,41927,1
13,0.650000,0.954905,0.948626,0.968160,0.909744,1.000000,1.000000,0.001171,0.048194,41927,1
14,0.700000,0.951523,0.944785,0.965753,0.903158,1.000000,1.000000,0.001259,0.052058,41927,1
15,0.750000,0.948153,0.940960,0.963352,0.896621,1.000000,1.000000,0.001347,0.055943,41927,1
16,0.800000,0.944795,0.937150,0.960957,0.890133,1.000000,1.000000,0.001434,0.059848,41927,1
17,0.850000,0.941450,0.933356,0.958568,0.883694,1.000000,1.000000,0.001520,0.063773,41927,1
18,0.900000,0.938116,0.929577,0.956185,0.877302,1.000000,1.000000,0.001607,0.067718,41927,1
19,0.950000,0.934795,0.925813,0.953808,0.870957,1.000000,1.000000,0.001693,0.071683,41927,1
20,1.000000,0.931485,0.922064,0.951437,0.864660,1.000000,1.000000,0.001779,0.075666,41927,1
21,1.050000,0.928187,0.918331,0.949071,0.858410,1.000000,1.000000,0.001864,0.079669,41927,1
22,1.100000,0.924901,0.914613,0.946712,0.852206,1.000000,1.000000,0.001950,0.083689,41927,1
23,1.150000,0.921628,0.910910,0.944358,0.846048,1.000000,1.000000,0.002034,0.087728,41927,1
24,1.200000,0.918365,0.907222,0.942011,0.839936,1.000000,1.000000,0.002119,0.091785,41927,1
25,1.250000,0.915115,0.903549,0.939669,0.833870,1.000000,1.000000,0.002203,0.095859,41927,1
26,1.300000,0.911876,0.899891,0.937333,0.827848,1.000000,1.000000,0.002287,0.099951,41927,1
27,1.350000,0.908649,0.896247,0.935003,0.821871,1.000000,1.000000,0.002371,0.104060,41927,1
28,1.400000,0.905433,0.892618,0.932678,0.815939,1.000000,1.000000,0.002454,0.108185,41927,1
29,1.450000,0.902229,0.889004,0.930360,0.810050,1.000000,1.000000,0.002537,0.112326,41927,1
30,1.500000,0.899037,0.885405,0.928047,0.804206,1.000000,1.000000,0.002620,0.116484,41927,1
31,1.550000,0.895856,0.881820,0.925740,0.798404,1.000000,1.000000,0.002702,0.120658,41927,1
32,1.600000,0.892687,0.878250,0.923438,0.792646,1.000000,1.000000,0.002784,0.124847,41927,1
33,1.650000,0.889528,0.874694,0.921143,0.786930,1.000000,1.000000,0.002866,0.129051,41927,1
34,1.700000,0.886382,0.871153,0.918853,0.781257,1.000000,1.000000,0.002947,0.133270,41927,1
35,1.750000,0.883246,0.867625,0.916568,0.775626,1.000000,1.000000,0.003028,0.137504,41927,1
36,1.800000,0.880122,0.864113,0.914290,0.770036,1.000000,1.000000,0.003109,0.141753,41927,1
37,1.850000,0.877009,0.860614,0.912017,0.764488,1.000000,1.000000,0.003190,0.146016,41927,1
38,1.900000,0.873908,0.857130,0.909749,0.758981,1.000000,1.000000,0.003270,0.150292,41927,1
39,1.950000,0.870817,0.853659,0.907488,0.753515,1.000000,1.000000,0.003350,0.154582,41927,1
40,2.000000,0.867738,0.850203,0.905232,0.748089,1.000000,1.000000,0.003430,0.158886,41927,1
41,2.050000,0.864669,0.846761,0.902981,0.742704,1.000000,1.000000,0.003509,0.163202,41927,1
42,2.100000,0.861612,0.843332,0.900737,0.737358,1.000000,1.000000,0.003588,0.167532,41927,1
43,2.150000,0.858566,0.839918,0.898497,0.732052,1.000000,1.000000,0.003667,0.171874,41927,1
44,2.200000,0.855530,0.836517,0.896264,0.726785,1.000000,1.000000,0.003745,0.176228,41927,1
45,2.250000,0.852506,0.833130,0.894035,0.721557,1.000000,1.000000,0.003823,0.180595,41927,1
46,2.300000,0.849492,0.829757,0.891813,0.716368,1.000000,1.000000,0.003901,0.184973,41927,1
47,2.350000,0.846489,0.826398,0.889596,0.711217,1.000000,1.000000,0.003979,0.189363,41927,1
48,2.400000,0.843497,0.823052,0.887384,0.706104,1.000000,1.000000,0.004056,0.193765,41927,1
49,2.450000,0.840516,0.819719,0.885178,0.701029,1.000000,1.000000,0.004133,0.198177,41927,1
50,2.500000,0.837546,0.816400,0.882978,0.695991,1.000000,1.000000,0.004210,0.202601,41927,1
51,2.550000,0.834586,0.813095,0.880783,0.690990,1.000000,1.000000,0.004286,0.207035,41927,1
52,2.600000,0.831636,0.809803,0.878593,0.686027,1.000000,1.000000,0.004363,0.211479,41927,1
53,2.650000,0.828698,0.806524,0.876409,0.681100,1.000000,1.000000,0.004438,0.215934,41927,1
54,2.700000,0.825770,0.803259,0.874230,0.676209,1.000000,1.000000,0.004514,0.220399,41927,1
55,2.750000,0.822852,0.800007,0.872057,0.671355,1.000000,1.000000,0.004589,0.224874,41927,1
56,2.800000,0.819945,0.796768,0.869889,0.666536,1.000000,1.000000,0.004664,0.229358,41927,1
57,2.850000,0.817049,0.793542,0.867726,0.661753,1.000000,1.000000,0.004739,0.233851,41927,1
58,2.900000,0.814163,0.790329,0.865569,0.657005,1.000000,1.000000,0.004814,0.238353,41927,1
59,2.950000,0.811287,0.787129,0.863417,0.652292,1.000000,1.000000,0.004888,0.242865,41927,1
60,3.000000,0.808421,0.783942,0.861271,0.647614,1.000000,1.000000,0.004962,0.247385,41927,1
61,3.050000,0.805566,0.780768,0.859130,0.642971,1.000000,1.000000,0.005035,0.251913,41927,1
62,3.100000,0.802721,0.777607,0.856994,0.638361,1.000000,1.000000,0.005109,0.256450,41927,1
63,3.150000,0.799886,0.774458,0.854863,0.633786,1.000000,1.000000,0.005182,0.260994,41927,1
64,3.200000,0.797062,0.771323,0.852738,0.629244,1.000000,1.000000,0.005255,0.265547,41927,1
65,3.250000,0.794248,0.768200,0.850618,0.624735,1.000000,1.000000,0.005327,0.270107,41927,1
66,3.300000,0.791443,0.765090,0.848503,0.620260,1.000000,1.000000,0.005400,0.274674,41927,1
67,3.350000,0.788649,0.761992,0.846394,0.615818,1.000000,1.000000,0.005472,0.279249,41927,1
68,3.400000,0.785865,0.758907,0.844290,0.611408,1.000000,1.000000,0.005543,0.283831,41927,1
69,3.450000,0.783091,0.755834,0.842191,0.607031,1.000000,1.000000,0.005615,0.288420,41927,1
70,3.500000,0.780326,0.752774,0.840097,0.602686,1.000000,1.000000,0.005686,0.293015,41927,1
71,3.550000,0.777572,0.749726,0.838009,0.598373,1.000000,1.000000,0.005757,0.297616,41927,1
72,3.600000,0.774828,0.746691,0.835926,0.594092,1.000000,1.000000,0.005828,0.302224,41927,1
73,3.650000,0.772093,0.743667,0.833847,0.589842,1.000000,1.000000,0.005898,0.306838,41927,1
74,3.700000,0.769368,0.740656,0.831774,0.585623,1.000000,1.000000,0.005968,0.311458,41927,1
75,3.750000,0.766653,0.737658,0.829707,0.581436,1.000000,1.000000,0.006038,0.316084,41927,1
76,3.800000,0.763948,0.734671,0.827644,0.577279,1.000000,1.000000,0.006108,0.320715,41927,1
77,3.850000,0.761253,0.731697,0.825586,0.573153,1.000000,1.000000,0.006178,0.325351,41927,1
78,3.900000,0.758567,0.728734,0.823534,0.569056,1.000000,1.000000,0.006247,0.329993,41927,1
79,3.950000,0.755891,0.725784,0.821487,0.564990,1.000000,1.000000,0.006316,0.334639,41927,1
80,4.000000,0.753224,0.722845,0.819445,0.560954,1.000000,1.000000,0.006384,0.339291,41927,1
81,4.050000,0.750567,0.719918,0.817407,0.556948,1.000000,1.000000,0.006453,0.343946,41927,1
82,4.100000,0.747919,0.717004,0.815375,0.552970,1.000000,1.000000,0.006521,0.348607,41927,1
83,4.150000,0.745281,0.714101,0.813348,0.549022,1.000000,1.000000,0.006589,0.353272,41927,1
84,4.200000,0.742653,0.711209,0.811326,0.545103,1.000000,1.000000,0.006656,0.357940,41927,1
85,4.250000,0.740034,0.708330,0.809309,0.541213,1.000000,1.000000,0.006724,0.362613,41927,1
86,4.300000,0.737424,0.705462,0.807297,0.537351,1.000000,1.000000,0.006791,0.367290,41927,1
87,4.350000,0.734824,0.702606,0.805290,0.533518,1.000000,1.000000,0.006858,0.371970,41927,1
88,4.400000,0.732233,0.699761,0.803288,0.529712,1.000000,1.000000,0.006924,0.376653,41927,1
89,4.450000,0.729651,0.696928,0.801291,0.525934,1.000000,1.000000,0.006991,0.381340,41927,1
90,4.500000,0.727078,0.694106,0.799299,0.522184,1.000000,1.000000,0.007057,0.386030,41927,1
91,4.550000,0.724515,0.691296,0.797312,0.518462,1.000000,1.000000,0.007123,0.390724,41927,1
92,4.600000,0.721961,0.688497,0.795330,0.514767,1.000000,1.000000,0.007188,0.395419,41927,1
93,4.650000,0.719416,0.685709,0.793353,0.511098,1.000000,1.000000,0.007254,0.400118,41927,1
94,4.700000,0.716880,0.682933,0.791381,0.507457,1.000000,1.000000,0.007319,0.404819,41927,1
95,4.750000,0.714354,0.680168,0.789413,0.503842,1.000000,1.000000,0.007384,0.409523,41927,1
96,4.800000,0.711836,0.677414,0.787451,0.500254,1.000000,1.000000,0.007449,0.414228,41927,1
97,4.850000,0.709327,0.674671,0.785493,0.496692,1.000000,1.000000,0.007513,0.418936,41927,1
98,4.900000,0.706828,0.671940,0.783541,0.493156,1.000000,1.000000,0.007577,0.423646,41927,1
99,4.950000,0.704337,0.669219,0.781593,0.489646,1.000000,1.000000,0.007641,0.428358,41927,1
100,5.000000,0.701855,0.666510,0.779650,0.486161,1.000000,1.000000,0.007705,0.433071,41927,1
101,5.050000,0.699383,0.663811,0.777711,0.482702,1.000000,1.000000,0.007769,0.437786,41927,1
102,5.100000,0.696919,0.661124,0.775778,0.479268,1.000000,1.000000,0.007832,0.442502,41927,1
103,5.150000,0.694463,0.658447,0.773849,0.475859,1.000000,1.000000,0.007895,0.447219,41927,1
104,5.200000,0.692017,0.655781,0.771926,0.472475,1.000000,1.000000,0.007958,0.451938,41927,1
105,5.250000,0.689580,0.653126,0.770007,0.469116,1.000000,1.000000,0.008020,0.456657,41927,1
106,5.300000,0.687151,0.650481,0.768092,0.465781,1.000000,1.000000,0.008083,0.461377,41927,1
107,5.350000,0.684731,0.647848,0.766183,0.462471,1.000000,1.000000,0.008145,0.466098,41927,1
108,5.400000,0.682319,0.645225,0.764278,0.459185,1.000000,1.000000,0.008207,0.470820,41927,1
109,5.450000,0.679916,0.642612,0.762378,0.455923,1.000000,1.000000,0.008269,0.475542,41927,1
110,5.500000,0.677522,0.640011,0.760483,0.452684,1.000000,1.000000,0.008330,0.480264,41927,1
111,5.550000,0.675136,0.637419,0.758592,0.449469,1.000000,1.000000,0.008391,0.484987,41927,1
112,5.600000,0.672759,0.634839,0.756706,0.446278,1.000000,1.000000,0.008452,0.489710,41927,1
113,5.650000,0.670391,0.632268,0.754825,0.443110,1.000000,1.000000,0.008513,0.494432,41927,1
114,5.700000,0.668031,0.629708,0.752949,0.439964,1.000000,1.000000,0.008574,0.499155,41927,1
115,5.750000,0.665679,0.627159,0.751077,0.436842,1.000000,1.000000,0.008634,0.503877,41927,1
