step,t_yr,Mn_ratio_mean,Mn_ratio_min,Mn_ratio_max,E_rel_mean,mass_frac_target,mass_frac_real,porosity_mean,risk_mean,voxels,components
0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,41927,1
1,0.050000,0.968762,0.962781,0.981484,0.937010,1.000000,1.000000,0.000812,0.032746,41927,1
2,0.100000,0.938530,0.926947,0.963311,0.878151,1.000000,1.000000,0.001596,0.067306,41927,1
3,0.150000,0.909270,0.892447,0.945474,0.823142,1.000000,1.000000,0.002355,0.103433,41927,1
4,0.200000,0.880951,0.859231,0.927968,0.771720,1.000000,1.000000,0.003088,0.140904,41927,1
5,0.250000,0.853540,0.827251,0.910785,0.723641,1.000000,1.000000,0.003797,0.179512,41927,1
6,0.300000,0.827009,0.796462,0.893922,0.678681,1.000000,1.000000,0.004482,0.219068,41927,1
7,0.350000,0.801329,0.766818,0.877370,0.636628,1.000000,1.000000,0.005144,0.259400,41927,1
8,0.400000,0.776470,0.738277,0.861124,0.597287,1.000000,1.000000,0.005785,0.300352,41927,1
9,0.450000,0.752408,0.710798,0.845179,0.560476,1.000000,1.000000,0.006405,0.341779,41927,1
10,0.500000,0.729114,0.684343,0.829530,0.526027,1.000000,1.000000,0.007004,0.383553,41927,1
11,0.550000,0.706565,0.658871,0.814171,0.493781,1.000000,1.000000,0.007584,0.425553,41927,1
12,0.600000,0.684735,0.634347,0.799096,0.463592,1.000000,1.000000,0.008144,0.467673,41927,1
13,0.650000,0.663601,0.610736,0.784300,0.435325,1.000000,1.000000,0.008687,0.509816,41927,1
14,0.700000,0.643141,0.588003,0.769778,0.408851,1.000000,1.000000,0.009211,0.551894,41927,1
15,0.750000,0.623331,0.566116,0.755525,0.384053,1.000000,1.000000,0.009718,0.593827,41927,1
16,0.800000,0.604152,0.545042,0.741535,0.360820,0.999999,1.000000,0.010209,0.635545,41927,1
17,0.850000,0.585581,0.524752,0.727804,0.339050,0.999999,1.000000,0.010684,0.676983,41927,1
18,0.900000,0.567600,0.505217,0.714328,0.318647,0.999999,1.000000,0.011144,0.718084,41927,1
19,0.950000,0.550189,0.486407,0.701102,0.299521,0.999998,1.000000,0.011589,0.758798,41927,1
20,1.000000,0.533329,0.468296,0.688120,0.281591,0.999997,1.000000,0.012019,0.799080,41927,1
21,1.050000,0.517002,0.450858,0.675379,0.264777,0.999995,1.000000,0.012435,0.838889,41927,1
22,1.100000,0.501191,0.434066,0.662874,0.249008,0.999994,1.000000,0.012838,0.878192,41927,1
23,1.150000,0.485878,0.417897,0.650600,0.234216,0.999991,1.000000,0.013228,0.916957,41927,1
24,1.200000,0.430978,0.377082,0.638833,0.183013,0.999987,0.948148,0.014626,1.058633,39753,1
25,1.250000,0.416233,0.362030,0.627016,0.170794,0.999982,0.948148,0.015001,1.098939,39753,1
26,1.300000,0.401998,0.347567,0.615417,0.159409,0.999975,0.948148,0.015362,1.138461,39753,1
27,1.350000,0.388253,0.333667,0.604034,0.148798,0.999966,0.948148,0.015711,1.177190,39753,1
28,1.400000,0.374981,0.320307,0.592860,0.138908,0.999953,0.948148,0.016048,1.215117,39753,1
29,1.450000,0.362163,0.307462,0.581893,0.129687,0.999936,0.948148,0.016373,1.252239,39753,1
30,1.500000,0.349782,0.295108,0.571129,0.121088,0.999913,0.948148,0.016686,1.288557,39753,1
