step,t_yr,Mn_ratio_mean,Mn_ratio_min,Mn_ratio_max,E_rel_mean,mass_frac_target,mass_frac_real,porosity_mean,risk_mean,voxels,components
0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,41927,1
1,0.050000,0.970636,0.967670,0.976672,0.940705,1.000000,1.000000,0.000763,0.030668,41927,1
2,0.100000,0.942141,0.936386,0.953887,0.884993,1.000000,1.000000,0.001503,0.062920,41927,1
3,0.150000,0.914489,0.906113,0.931635,0.832644,1.000000,1.000000,0.002219,0.096562,41927,1
4,0.200000,0.887656,0.876818,0.909901,0.783449,1.000000,1.000000,0.002914,0.131416,41927,1
5,0.250000,0.861616,0.848471,0.888674,0.737214,1.000000,1.000000,0.003588,0.167315,41927,1
6,0.300000,0.836347,0.821040,0.867943,0.693757,1.000000,1.000000,0.004241,0.204108,41927,1
7,0.350000,0.811824,0.794496,0.847695,0.652907,1.000000,1.000000,0.004874,0.241652,41927,1
8,0.400000,0.788026,0.768810,0.827920,0.614505,1.000000,1.000000,0.005488,0.279817,41927,1
9,0.450000,0.764932,0.743954,0.808606,0.578401,1.000000,1.000000,0.006083,0.318484,41927,1
10,0.500000,0.742519,0.719902,0.789742,0.544454,1.000000,1.000000,0.006660,0.357542,41927,1
11,0.550000,0.720769,0.696627,0.771319,0.512533,1.000000,1.000000,0.007219,0.396890,41927,1
12,0.600000,0.699661,0.674105,0.753325,0.482514,1.000000,1.000000,0.007762,0.436435,41927,1
13,0.650000,0.679177,0.652311,0.735751,0.454283,1.000000,1.000000,0.008288,0.476091,41927,1
14,0.700000,0.659297,0.631221,0.718587,0.427730,1.000000,1.000000,0.008798,0.515781,41927,1
15,0.750000,0.640003,0.610814,0.701824,0.402753,1.000000,1.000000,0.009292,0.555433,41927,1
16,0.800000,0.621279,0.591065,0.685452,0.379258,1.000000,1.000000,0.009772,0.594981,41927,1
17,0.850000,0.603107,0.571955,0.669461,0.357155,1.000000,1.000000,0.010237,0.634368,41927,1
18,0.900000,0.585471,0.553463,0.653843,0.336360,1.000000,1.000000,0.010688,0.673538,41927,1
19,0.950000,0.568355,0.535569,0.638589,0.316794,1.000000,1.000000,0.011126,0.712444,41927,1
20,1.000000,0.551743,0.518253,0.623692,0.298383,1.000000,1.000000,0.011550,0.751041,41927,1
21,1.050000,0.535621,0.501496,0.609143,0.281057,1.000000,1.000000,0.011962,0.789290,41927,1
22,1.100000,0.519974,0.485281,0.594932,0.264753,1.000000,1.000000,0.012361,0.827155,41927,1
23,1.150000,0.504787,0.469591,0.581053,0.249408,1.000000,1.000000,0.012748,0.864605,41927,1
24,1.200000,0.490048,0.454407,0.567498,0.234964,1.000000,1.000000,0.013124,0.901610,41927,1
25,1.250000,0.475742,0.439714,0.554259,0.221369,1.000000,1.000000,0.013488,0.938146,41927,1
26,1.300000,0.461857,0.425495,0.541329,0.208572,1.000000,1.000000,0.013842,0.974191,41927,1
27,1.350000,0.448381,0.411736,0.528700,0.196524,1.000000,1.000000,0.014184,1.009726,41927,1
28,1.400000,0.435301,0.398422,0.516367,0.185182,1.000000,1.000000,0.014517,1.044733,41927,1
29,1.450000,0.422606,0.385537,0.504320,0.174503,1.000000,1.000000,0.014840,1.079199,41927,1
30,1.500000,0.410284,0.373069,0.492555,0.164448,1.000000,1.000000,0.015153,1.113111,41927,1
